AT&T001.txt	AT&T is pushing for Congress to adopt federal legislation making internet access affordable for all while providing permanent net neutrality rules for everyone.	FAVOR
AT&T001.txt	AT&T said it’s now prohibited from offering sponsored data programs that allowed customers to stream video without using data due to California’s newly enacted net neutrality laws.	OPPOSE
AT&T002.txt	Though AT&T and Stephenson have consistently expressed support for net neutrality principals, their actions speak differently.	OPPOSE
AT&T002.txt	In 2003 AT&T attempted to block its customers from using Wi-Fi and in 2002 warned customers to avoid “home networking” by arguing that it constituted “theft of service” and was a federal crime, according to a  research paper on net neutrality from the Columbia Law Schoo l.	OPPOSE
AT&T002.txt	In 2017, then-FCC chairman Tom Wheeler released a report stating that AT&T’s aforementioned zero-rated video services potentially violated the Commission’s Open Internet Order.	OPPOSE
AT&T003.txt	Although AT&T does not believe that government regulation of the Internet is necessary, AT&T worked with stakeholders on all sides of the FCC’s Open Internet proceeding to develop consumer-focused policies that would preserve the vibrant and open Internet that exists today while continuing to give Internet service providers incentives to invest in broadband infrastructure as well as the flexibility to manage their networks to best serve their customers.	FAVOR
AT&T003.txt	Consistent with the net neutrality rules, AT&T has created a Broadband Information website where, at one convenient location, subscribers and content, devices, applications, and services providers can obtain information regarding the network management practices, performance, and commercial terms of AT&T’s wireline and wireless mass market broadband Internet access services.	UNKNOWN
AT&T003.txt	AT&T recognizes the interests of and concerns expressed by regulators, legislators, and the public about the importance of maintaining an open Internet, and the many social, economic and other benefits derived from maintaining that medium for all Internet users.	FAVOR
AT&T003.txt	As our open Internet policies and practices (discussed above) show, AT&T is committed to adopting policies that strike such a balance, and thus will well position us to confront the competitive, regulatory and legislative challenges posed by this issue.	FAVOR
AT&T004.txt	AT&T will no longer exempt viewership of its HBO Max streaming service from data caps after a federal court upheld California's net neutrality law, the company said in a statement Wednesday.	OPPOSE
AT&T004.txt	"A state-by-state approach to 'net neutrality' is unworkable," AT&T said in a statement announcing the data cap change.	UNKNOWN
AT&T004.txt	AT&T said it has "long been committed to the principles of an open Internet" and urged Congress to enact federal laws to make it easy and affordable for Americans to access the internet "while providing clear, consistent, and permanent net neutrality rules for everyone to follow."	FAVOR
AT&T005.txt	AT&T is ditching its "sponsored data" service for some of its video streaming apps as a result of California's net neutrality law, which prohibits operators from favoring their own services and content over competitors' offerings.	OPPOSE
AT&T006.txt	In reality, the California law allows AT&T to continue zero-rating HBO Max, its own video service, as long as it exempts all competing video services from data caps without charging the other video providers.	OPPOSE
AT&T006.txt	But instead of zero-rating all video without collecting payments from its competitors in the online-video business, AT&T decided it would rather not exempt anything at all.	OPPOSE
AT&T006.txt	"Unfortunately, under the California law we are now prohibited from providing certain data features to consumers free of charge,"  AT&T claimed  in its announcement that it is ending the "zero-rating" program that exempts some content from data caps. "	OPPOSE
AT&T006.txt	AT&T wouldn't be able to charge other video providers for the zero-rating, but providing such a perk to customers could help AT&T earn more revenue by signing up new customers and retaining existing ones who care about the perk.	OPPOSE
AT&T006.txt	AT&T confirmed to Ars that it has stopped zero-rating HBO Max and that it is ending its sponsored program throughout the US.	OPPOSE
AT&T006.txt	AT&T had been zero-rating HBO Max at no extra cost to itself, as any money charged for that arrangement would simply be transferred from  AT&T's WarnerMedia subsidiary  to AT&T's wireless business.	OPPOSE
AT&T006.txt	AT&T could also use zero-rating in different ways to help customers, van Schewick said.	OPPOSE
AT&T006.txt	Further Reading AT&T whines about Calif. net neutrality law as ISPs’ case appears doomed	OPPOSE
